ËšC,avg_sysload,avg_export,avg_import,std_sysload,std_export,std_import
-9.0,5175.0,1220.0,2259.5,485.0,349.9,181.3
-7.0,5179.8,1379.2,2709.1,666.0,262.2,460.5
-6.0,5670.1,1105.6,2985.7,665.0,412.6,221.5
-5.0,4767.2,1347.5,2464.3,737.1,403.6,412.0
-4.0,4967.3,1060.3,2448.7,770.2,541.3,177.8
-3.0,5017.6,883.6,2535.3,836.2,568.8,307.2
-2.0,5249.8,668.4,2586.9,687.1,497.6,231.1
-1.0,5234.8,903.8,2529.6,731.9,468.3,337.2
0.0,5239.1,795.6,2322.9,667.3,519.3,300.4
1.0,5394.4,848.2,2435.3,629.7,485.2,291.2
2.0,5312.5,788.7,2465.4,721.4,465.7,348.3
3.0,5098.0,892.9,2463.8,705.3,517.5,335.2
4.0,4965.7,668.6,2191.6,703.1,488.1,377.8
5.0,4861.1,523.4,2211.1,624.7,355.9,477.8
6.0,4873.0,648.5,2436.5,731.9,518.0,428.7
7.0,5063.4,632.4,2167.8,620.3,347.9,296.6
8.0,4977.3,472.0,2234.3,664.5,314.0,370.5
9.0,4858.7,693.5,2156.7,656.7,391.8,355.6
10.0,4825.8,546.3,2121.0,684.4,343.3,402.1
11.0,4765.4,560.6,2087.8,643.1,436.2,358.3
12.0,4597.9,674.7,2085.5,668.4,423.3,416.4
13.0,4622.5,732.4,2142.4,654.2,382.7,440.5
14.0,4705.4,653.2,2201.6,650.0,403.6,368.1
15.0,4672.3,623.7,2149.3,610.6,366.7,491.6
16.0,4481.1,605.6,2025.1,679.8,369.2,403.8
17.0,4609.5,623.6,2078.5,637.0,468.7,382.4
18.0,4495.1,618.2,1869.6,648.0,395.9,487.7
19.0,4419.3,524.8,1891.2,554.8,339.5,428.4
20.0,4562.4,656.1,2118.7,577.4,340.4,463.4
21.0,4356.4,614.2,1886.0,618.0,413.1,422.0
22.0,4570.6,503.0,1980.3,525.9,352.8,446.3
23.0,4466.4,609.1,1931.1,560.4,356.5,398.0
24.0,4394.9,527.0,1965.7,485.7,373.1,384.4
25.0,4405.0,462.4,1960.4,566.8,319.3,398.6
26.0,4523.0,488.8,2038.4,595.7,321.3,413.4
27.0,4474.1,389.6,1869.6,637.1,247.1,441.8
28.0,4472.2,551.7,1911.8,623.3,338.1,336.8
29.0,4457.5,640.5,1945.8,622.4,342.3,398.4
30.0,4417.1,809.7,1862.8,628.6,377.7,317.1
31.0,4655.2,596.1,1995.7,686.7,275.8,395.7
32.0,4474.6,605.5,1993.4,664.0,437.1,453.7
33.0,4832.6,815.6,2065.8,808.2,330.2,451.7
34.0,4968.2,450.7,2154.5,644.1,309.5,429.3
35.0,5187.5,234.6,2206.8,693.4,243.2,352.1
